Week Ending Date,Geographic aggregation,Hospital Reporting Days,Percent Hospital Reporting Days,Number Hospitals Reporting Adult COVID-19 Admissions,Number Hospitals Reporting Pediatric COVID-19 Admissions,Number Hospitals Reporting Influenza Admissions,Number Hospitals Reporting Prevalent Influenza Hospitalizations,Number Hospitals Reporting Hospitalized Influenza ICU Patients,Number Hospitals Reporting Inpatient Beds,Number Hospitals Reporting ICU Beds,Number Hospitals Reporting Inpatient Beds Occupied,Number Hospitals Reporting ICU Beds Occupied,Number Hospitals Reporting Percent Inpatient Bed Occupancy,Number Hospitals Reporting Percent ICU Bed Occupancy,Number Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy,Number Hospitals Reporting Percent Influenza Inpatient Bed Occupancy,Number Hospitals Reporting Percent COVID-19 ICU Bed Occupancy,Number Hospitals Reporting Percent Influenza ICU Bed Occupancy,Number Hospitals Reporting Total COVID-19 Admissions,Number Hospitals Reporting Prevalent COVID-19 Hospitalizations,Number Hospitals Reporting Hospitalized COVID-19 ICU Patients,Weekly Average Adult COVID-19 Admissions,Weekly Total Adult COVID-19 Admissions,Weekly Average Pediatric COVID-19 Admissions,Weekly Total Pediatric COVID-19 Admissions,Weekly Average COVID-19 Admissions,Weekly Total COVID-19 Admissions,Weekly Average Influenza Admissions,Weekly Total Influenza Admissions,Weekly Average Prevalent COVID-19 Hospitalizations,Weekly Average Prevalent Influenza Hospitalizations,Weekly Average Hospitalized COVID-19 ICU Patients,Weekly Average Hospitalized Influenza ICU Patients,Weekly Average Inpatient Beds,Weekly Average ICU Beds,Weekly Average Inpatient Beds Occupied,Weekly Average ICU Beds Occupied,Weekly Average Percent Inpatient Bed Occupancy,Weekly Average Percent ICU Bed Occupancy,Weekly Average Percent COVID-19 Inpatient Bed Occupancy,Weekly Average Percent Influenza Inpatient Bed Occupancy,Weekly Average Percent COVID-19 ICU Bed Occupancy,Weekly Average Percent Influenza ICU Bed Occupancy,Percent Adult COVID-19 Admissions,Percent Pediatric COVID-19 Admissions,Percent Hospitals Reporting Adult COVID-19 Admissions,Percent Hospitals Reporting Pediatric COVID-19 Admissions,Percent Hospitals Reporting Influenza Admissions,Percent Hospitals Reporting Prevalent Influenza Hospitalizations,Percent Hospitals Reporting Hospitalized Influenza ICU Patients,Percent Hospitals Reporting Inpatient Beds,Percent Hospitals Reporting ICU Beds,Percent Hospitals Reporting Inpatient Beds Occupied,Percent Hospitals Reporting ICU Beds Occupied,Percent Hospitals Reporting Percent Inpatient Bed Occupancy,Percent Hospitals Reporting Percent ICU Bed Occupancy,Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy,Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy,Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy,Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy,Percent Hospitals Reporting Total COVID-19 Admissions,Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations,Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients,Absolute Change in the Percent Hospitals Reporting Adult COVID-19 Admissions from Prior Week,Absolute Change in the Percent Hospitals Reporting Pediatric COVID-19 Admissions from Prior Week,Absolute Change in the Percent Hospitals Reporting Influenza Admissions from Prior Week ,Absolute Change in the Percent Hospitals Reporting Prevalent Influenza Hospitalizations from Prior Week ,Absolute Change in the Percent Hospitals Reporting Hospitalized Influenza ICU Patients from Prior Week ,Absolute Change in the Percent Hospitals Reporting Inpatient Beds from Prior Week ,Absolute Change in the Percent Hospitals Reporting ICU Beds from Prior Week ,Absolute Change in the Percent Hospitals Reporting Inpatient Beds Occupied from Prior Week ,Absolute Change in the Percent Hospitals Reporting ICU Beds Occupied from Prior Week ,Absolute Change in the Percent Hospitals Reporting Percent Inpatient Bed Occupancy from Prior Week ,Absolute Change in the Percent Hospitals Reporting Percent ICU Bed Occupancy from Prior Week ,Absolute Change in the Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy from Prior Week ,Absolute Change in the Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy from Prior Week ,Absolute Change in the Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy from Prior Week ,Absolute Change in the Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy from Prior Week ,Absolute Change in the Percent Hospitals Reporting Total COVID-19 Admissions from Prior Week ,Absolute Change in the Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations from Prior Week ,Absolute Change in the Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients from Prior Week 
1/7/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,28,0,0,4,28,3.57,25,22.43,17.29,4,3,1018.29,154,826.14,132.14,81.13,85.77,2.2,1.7,2.6,1.94,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4.14,29,0,0,4.14,29,0.57,4,25.86,15.43,3.29,2.71,1043.43,151.14,806.57,122.86,77.34,81.29,2.48,1.48,2.18,1.79,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,5.43,38,0.43,3,5.86,41,0.29,2,29.86,8.29,4.71,0.29,1058.14,150.43,791.43,115.86,74.8,76.99,2.82,0.78,3.13,0.19,92.68,7.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4.43,31,0.43,3,4.86,34,0,0,33.14,4,4.71,0.29,1037.86,152.29,786.71,115.71,75.87,75.99,3.2,0.39,3.08,0.19,91.18,8.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3.86,27,0,0,3.86,27,0.43,3,34.43,5.14,4.43,0.43,1009.29,147.43,755.43,112.71,74.83,76.43,3.41,0.51,3,0.29,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,5,35,0.29,2,5.29,37,0.14,1,24.86,4.43,3.14,0.29,1022,152.43,764.86,117.29,74.83,76.9,2.44,0.43,2.08,0.18,94.59,5.41,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3.71,26,0.86,6,4.57,32,0.14,1,24.57,1.71,1.86,0,1014.86,151.29,758.43,118,74.75,77.99,2.42,0.17,1.22,0,81.25,18.75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4.14,29,0,0,4.14,29,0.14,1,26.29,2.57,1.57,0.14,1002.57,143.43,761,106.43,75.91,74.21,2.62,0.26,1.09,0.1,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4.71,33,0.86,6,5.57,39,0,0,30.14,1.43,3.14,0,1008.29,140.71,766.14,108,75.97,76.79,2.99,0.14,2.24,0,84.62,15.38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2.71,19,0,0,2.71,19,0.29,2,16.71,2,2.86,0.29,1003,140.43,744.57,112,74.23,79.76,1.67,0.2,2.02,0.21,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3.43,24,0.43,3,3.86,27,0,0,17.86,1.29,3.57,0,1028,143.14,778.14,113.43,75.4,78.79,1.75,0.13,2.5,0,88.89,11.11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3.43,24,0.14,1,3.57,25,0,0,16.43,0,2,0,990.57,139.71,739.57,107.86,74.66,77.18,1.66,0,1.44,0,96,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2.71,19,0,0,2.71,19,0.14,1,17.57,0.14,2.43,0.14,995.71,147.57,749.57,105.86,75.28,71.77,1.76,0.01,1.65,0.1,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2.71,19,0,0,2.71,19,0.14,1,17.57,0.14,4.29,0.14,1002.14,150.86,776.71,109.14,77.5,72.38,1.75,0.01,2.84,0.09,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/15/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2.57,18,0.14,1,2.71,19,0.29,2,16.86,0.86,2.43,0.43,987.71,144,726.57,104.29,73.55,72.39,1.71,0.09,1.67,0.3,94.74,5.26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/22/2023,AK,98,100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1.71,12,0.29,2,2,14,0,0,11,1,1,0,992.71,144.29,760.86,103.14,76.63,71.44,1.11,0.1,0.69,0,85.71,14.29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
